artifact	sensor_mode	git_head	git_diff_stat	git_cached_diff_stat	compiler_mode	sha256
max9296-keep.ko	KEEP	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=255	f21b53461e3af0eddf34f1e6910556316d82490b8026dcff954d3b30e154899c
max9296-sm00.ko	0	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=0	794d554f62737a0fbc8077f71257d0cfd54e86a7074dbfde3d931fec34a76652
max9296-sm01.ko	1	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=1	51c6940adcd3230fd57d9bfd301cf4eca41daed50e79360c268e6cee793bef9e
max9296-sm02.ko	2	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=2	f4678687c03ce543e427d076841644e9469228a45ea8771d60fadff24cd660ea
max9296-sm03.ko	3	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=3	7210a4a90f7a5ddcb103cbd6047e9fcad6e16465832eb608f5dcbf24bc83af48
max9296-sm04.ko	4	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=4	061644f86ffe3a3c70739beec209993fb24e84384f795eccbb34b8930f54ce23
max9296-sm05.ko	5	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=5	ac8261c8c004a8bf38b8a4d5028b45153c1bd2b769f935d91ba47f6a6abebda3
max9296-sm06.ko	6	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=6	05e3bdb28463aeda5b7fee8b021db11076477ec3777f1ca675cd6da061722e44
max9296-sm07.ko	7	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=7	7f51b8709bf2742dd6676244f2885595e21f199d3bedb1021d429c4368f10732
max9296-sm08.ko	8	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=8	122a7159bddd77336a4dbe7c5c1b807dc7f3e9a84223972597cdaef26ba58c29
max9296-sm09.ko	9	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=9	90dba0be8df0a4b7d961d5d1aa81eb63482747ff19df09455918b8eb3be40787
max9296-sm10.ko	10	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=10	42cf4a40b91007ec655e2b1a311e16b8cdcedafeef69b9a9ca364cbb4cf70482
max9296-sm11.ko	11	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=11	0d700b27f828f5d16c4e987a78d9fa4c4c2bbfcde4136cc748eea96ce6370fe0
max9296-sm12.ko	12	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=12	3f92d3baad98a2329f5a2aa90f18a1bf527a6eea22a87c8a2055046e2cb01f6d
max9296-sm13.ko	13	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=13	f4b0af8c61f48d8eee83e77f9726e4864934c17341661f155922baea51ba6b1c
max9296-sm14.ko	14	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=14	c46fd52ba2c6c21742d389173cf907f036c40b130b94a12766ed7cf430bebcfd
max9296-sm15.ko	15	675c0d64f176f1cc10bb56b271f80a5c4e8c7794	clean	clean	-DMAX9296_360P_SENSOR_MODE=15	b7978e4e49581af70568ff938e5b7ce593a209d9265342c606b1d946f1b6d531
