artifact	sensor_mode	git_head	git_diff_stat	git_cached_diff_stat	compiler_mode	sha256
max9296-keep.ko	KEEP	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=255 -DMAX9296_360P_MAX_FPS=120	4097f59e702725eeab24367143864ec0c3912a508ddfc3413ec079fbc39f7c15
max9296-sm00.ko	0	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=0 -DMAX9296_360P_MAX_FPS=120	458f4d2196ffe45ac5062dcbd313666a7bf41d041c1812352fedfc1d19a729ab
max9296-sm01.ko	1	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=1 -DMAX9296_360P_MAX_FPS=120	3f224ea4e35a06f7352b13f17cdeb1bca2b5146bb627c678660db25fd2cbf587
max9296-sm02.ko	2	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=2 -DMAX9296_360P_MAX_FPS=120	6b9cf5b6944ea77497224dd697aba25c92863e58368287e9de2cbf36d97576c1
max9296-sm03.ko	3	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=3 -DMAX9296_360P_MAX_FPS=120	2904a4b487081284579caa9c00a9736df8e4e7e6b61e1b0bf4dd9da6549436c6
max9296-sm04.ko	4	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=4 -DMAX9296_360P_MAX_FPS=120	beb08d26cc8d4a43085a641e7d35435e0af65517f605950b635c9b255dbbb5c9
max9296-sm05.ko	5	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=5 -DMAX9296_360P_MAX_FPS=120	28923f90e1de261c6bde280d09245df30b84cbb8b91c8a2a956d7fc5a7ed789f
max9296-sm06.ko	6	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=6 -DMAX9296_360P_MAX_FPS=120	dfb2bcbf1b067b491ccf18d4722c702fe64e3e7bef8d2539892b386e7c806528
max9296-sm07.ko	7	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=7 -DMAX9296_360P_MAX_FPS=120	805413dd86a3700af38406d8b24eec2a7f6b5fa68f074092b1b923ced2e04970
max9296-sm08.ko	8	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=8 -DMAX9296_360P_MAX_FPS=120	03fed07ea7bcac3d6f0464b78cbb48596f7e8bdf7672a1014b79e002a60ec3f7
max9296-sm09.ko	9	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=9 -DMAX9296_360P_MAX_FPS=120	4431ddb7c197f95cf4db910602f1d7ba58d4c537c4cd0a26a20b2fd243986c45
max9296-sm10.ko	10	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=10 -DMAX9296_360P_MAX_FPS=120	3f99d3f5fd2de1dfbfa4c0088c7b587a6ae048456fa5b26718fb0338fa06be89
max9296-sm11.ko	11	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=11 -DMAX9296_360P_MAX_FPS=120	755d194a2d257b9482b35f3c847653218d6db5b41efd12c6950220f25d3149b1
max9296-sm12.ko	12	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=12 -DMAX9296_360P_MAX_FPS=120	240408d04093b67919934ce75db9896fdf3fe73ef417b88f7f3a704b21034153
max9296-sm13.ko	13	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=13 -DMAX9296_360P_MAX_FPS=120	bf385fd405b0aed27429e3f9f09b3b2865232002676b09cffb8ae10997c8cda7
max9296-sm14.ko	14	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=14 -DMAX9296_360P_MAX_FPS=120	43b6d695750aa29b6b83fb14ce2d9221fc3c0fb4b536f2c08890d6e58649457c
max9296-sm15.ko	15	809d582dc719cb033a34f81ba386862210037f36	clean	clean	-DMAX9296_360P_SENSOR_MODE=15 -DMAX9296_360P_MAX_FPS=120	cc373e5d8933a3dafa7ca07da962aa8cc17449af83868ae36218c0648e7c6e30
